hA,hB,bankA,bankB,shA,shB,turn,to_move,value
1,2,1,0,0,1,7,0,0.298500
1,2,1,0,0,2,7,0,0.149250
1,2,1,0,0,3,7,0,0.049750
1,2,1,0,1,0,6,1,-0.105445
1,2,1,0,2,0,6,1,0.172757
1,2,1,1,0,0,7,0,0.497500
1,2,1,1,0,1,7,0,0.298500
1,2,1,1,0,2,7,0,0.149250
1,2,1,2,0,0,7,0,0.497500
1,2,1,2,0,1,7,0,0.298500
1,2,1,3,0,0,7,0,0.497500
1,2,2,0,0,0,6,1,-0.462357
1,2,2,0,0,0,7,0,0.956220
1,2,2,0,0,1,7,0,0.398000
1,2,2,0,0,2,7,0,0.238800
1,2,2,0,0,3,7,0,0.119400
1,2,2,0,1,0,6,1,-0.041094
1,2,2,1,0,0,7,0,0.597000
1,2,2,1,0,1,7,0,0.398000
1,2,2,1,0,2,7,0,0.238800
1,2,2,2,0,0,7,0,0.597000
1,2,2,2,0,1,7,0,0.398000
1,2,2,3,0,0,7,0,0.597000
1,2,3,0,0,0,6,1,-0.428696
1,2,3,0,0,0,7,0,0.994834
1,2,3,0,0,1,7,0,0.497500
1,2,3,0,0,2,7,0,0.331667
1,2,3,0,0,3,7,0,0.199000
1,2,3,1,0,0,7,0,0.663333
1,2,3,1,0,1,7,0,0.497500
1,2,3,1,0,2,7,0,0.331667
1,2,3,2,0,0,7,0,0.663333
1,2,3,2,0,1,7,0,0.497500
1,2,3,3,0,0,7,0,0.663333
1,3,0,0,0,0,5,0,0.989574
1,3,0,0,0,0,7,0,0.199000
1,3,0,0,0,1,7,0,0.066333
1,3,0,0,0,2,7,0,0.000000
1,3,0,0,0,3,7,0,0.000000
1,3,0,0,3,0,6,1,0.099002
1,3,0,0,4,0,6,1,0.038174
1,3,0,1,0,0,7,0,0.199000
1,3,0,1,0,1,7,0,0.066333
1,3,0,1,0,2,7,0,0.000000
1,3,0,2,0,0,7,0,0.199000
1,3,0,2,0,1,7,0,0.066333
1,3,0,3,0,0,7,0,0.199000
1,3,1,0,0,0,5,0,0.978621
1,3,1,0,0,0,7,0,0.298500
1,3,1,0,0,1,7,0,0.149250
1,3,1,0,0,2,7,0,0.049750
1,3,1,0,0,3,7,0,0.000000
1,3,1,0,2,0,6,1,0.044054
1,3,1,0,3,0,6,1,0.173254
1,3,1,1,0,0,7,0,0.298500
1,3,1,1,0,1,7,0,0.149250
1,3,1,1,0,2,7,0,0.049750
1,3,1,2,0,0,7,0,0.298500
1,3,1,2,0,1,7,0,0.149250
1,3,1,3,0,0,7,0,0.298500
1,3,2,0,0,0,7,0,0.398000
1,3,2,0,0,1,7,0,0.238800
1,3,2,0,0,2,7,0,0.119400
1,3,2,0,0,3,7,0,0.039800
1,3,2,0,1,0,6,1,-0.144056
1,3,2,0,2,0,6,1,0.094033
1,3,2,1,0,0,7,0,0.398000
1,3,2,1,0,1,7,0,0.238800
1,3,2,1,0,2,7,0,0.119400
1,3,2,2,0,0,7,0,0.398000
1,3,2,2,0,1,7,0,0.238800
1,3,2,3,0,0,7,0,0.398000
1,3,3,0,0,0,6,1,-0.484797
1,3,3,0,0,0,7,0,0.497500
1,3,3,0,0,1,7,0,0.331667
1,3,3,0,0,2,7,0,0.199000
1,3,3,0,0,3,7,0,0.099500
1,3,3,0,1,0,6,1,-0.083995
1,3,3,1,0,0,7,0,0.497500
1,3,3,1,0,1,7,0,0.331667
1,3,3,1,0,2,7,0,0.199000
1,3,3,2,0,0,7,0,0.497500
1,3,3,2,0,1,7,0,0.331667
1,3,3,3,0,0,7,0,0.497500
1,3,4,0,0,0,6,1,-0.452739
1,3,4,0,0,0,7,0,0.994936
1,3,4,0,0,1,7,0,0.426429
1,3,4,0,0,2,7,0,0.284286
1,3,4,0,0,3,7,0,0.170571
1,3,4,1,0,0,7,0,0.568571
1,3,4,1,0,1,7,0,0.426429
1,3,4,1,0,2,7,0,0.284286
1,3,4,2,0,0,7,0,0.568571
1,3,4,2,0,1,7,0,0.426429
1,3,4,3,0,0,7,0,0.568571
1,4,0,0,0,0,7,0,0.066333
1,4,0,0,0,1,7,0,0.000000
1,4,0,0,0,2,7,0,0.000000
1,4,0,0,0,3,7,0,0.000000
1,4,0,0,4,0,6,1,0.026401
1,4,0,0,5,0,6,1,0.026401
1,4,0,1,0,0,7,0,0.066333
1,4,0,1,0,1,7,0,0.000000
1,4,0,1,0,2,7,0,0.000000
1,4,0,2,0,0,7,0,0.066333
1,4,0,2,0,1,7,0,0.000000
1,4,0,3,0,0,7,0,0.066333
1,4,1,0,0,0,5,0,0.990068
1,4,1,0,0,0,7,0,0.149250
1,4,1,0,0,1,7,0,0.049750
1,4,1,0,0,2,7,0,0.000000
1,4,1,0,0,3,7,0,0.000000
1,4,1,0,3,0,6,1,0.074252
1,4,1,0,4,0,6,1,0.074252
1,4,1,1,0,0,7,0,0.149250
1,4,1,1,0,1,7,0,0.049750
1,4,1,1,0,2,7,0,0.000000
1,4,1,2,0,0,7,0,0.149250
1,4,1,2,0,1,7,0,0.049750
1,4,1,3,0,0,7,0,0.149250
1,4,2,0,0,0,5,0,0.965897
1,4,2,0,0,0,7,0,0.238800
1,4,2,0,0,1,7,0,0.119400
1,4,2,0,0,2,7,0,0.039800
1,4,2,0,0,3,7,0,0.000000
1,4,2,0,2,0,6,1,0.015343
1,4,2,0,3,0,6,1,0.138603
1,4,2,1,0,0,7,0,0.238800
1,4,2,1,0,1,7,0,0.119400
1,4,2,1,0,2,7,0,0.039800
1,4,2,2,0,0,7,0,0.238800
1,4,2,2,0,1,7,0,0.119400
1,4,2,3,0,0,7,0,0.238800
1,4,3,0,0,0,7,0,0.331667
1,4,3,0,0,1,7,0,0.199000
1,4,3,0,0,2,7,0,0.099500
1,4,3,0,0,3,7,0,0.033167
1,4,3,0,1,0,6,1,-0.169797
1,4,3,0,2,0,6,1,0.082005
1,4,3,1,0,0,7,0,0.331667
1,4,3,1,0,1,7,0,0.199000
1,4,3,1,0,2,7,0,0.099500
1,4,3,2,0,0,7,0,0.331667
1,4,3,2,0,1,7,0,0.199000
1,4,3,3,0,0,7,0,0.331667
1,4,4,0,0,0,6,1,-0.500826
1,4,4,0,0,0,7,0,0.426429
1,4,4,0,0,1,7,0,0.284286
1,4,4,0,0,2,7,0,0.170571
1,4,4,0,0,3,7,0,0.085286
1,4,4,0,1,0,6,1,-0.114638
1,4,4,1,0,0,7,0,0.426429
1,4,4,1,0,1,7,0,0.284286
1,4,4,1,0,2,7,0,0.170571
1,4,4,2,0,0,7,0,0.426429
1,4,4,2,0,1,7,0,0.284286
1,4,4,3,0,0,7,0,0.426429
1,5,0,0,0,0,7,0,0.000000
1,5,0,0,0,1,7,0,0.000000
1,5,0,0,0,2,7,0,0.000000
1,5,0,0,0,3,7,0,0.000000
1,5,0,0,5,0,6,1,0.000000
1,5,0,0,6,0,6,1,0.000000
1,5,0,1,0,0,7,0,0.000000
1,5,0,1,0,1,7,0,0.000000
1,5,0,1,0,2,7,0,0.000000
1,5,0,2,0,0,7,0,0.000000
1,5,0,2,0,1,7,0,0.000000
1,5,0,3,0,0,7,0,0.000000
1,5,1,0,0,0,7,0,0.049750
1,5,1,0,0,1,7,0,0.000000
1,5,1,0,0,2,7,0,0.000000
1,5,1,0,0,3,7,0,0.000000
1,5,1,0,4,0,6,1,0.019801
1,5,1,0,5,0,6,1,0.019800
1,5,1,1,0,0,7,0,0.049750
1,5,1,1,0,1,7,0,0.000000
1,5,1,1,0,2,7,0,0.000000
1,5,1,2,0,0,7,0,0.049750
1,5,1,2,0,1,7,0,0.000000
1,5,1,3,0,0,7,0,0.049750
1,5,2,0,0,0,5,0,0.979245
1,5,2,0,0,0,7,0,0.119400
1,5,2,0,0,1,7,0,0.039800
1,5,2,0,0,2,7,0,0.000000
1,5,2,0,0,3,7,0,0.000000
1,5,2,0,3,0,6,1,0.059402
1,5,2,0,4,0,6,1,0.059401
1,5,2,1,0,0,7,0,0.119400
1,5,2,1,0,1,7,0,0.039800
1,5,2,1,0,2,7,0,0.000000
1,5,2,2,0,0,7,0,0.119400
1,5,2,2,0,1,7,0,0.039800
1,5,2,3,0,0,7,0,0.119400
1,5,3,0,0,0,5,0,0.994154
1,5,3,0,0,0,7,0,0.199000
1,5,3,0,0,1,7,0,0.099500
1,5,3,0,0,2,7,0,0.033167
1,5,3,0,0,3,7,0,0.000000
1,5,3,0,2,0,6,1,-0.003798
1,5,3,0,3,0,6,1,0.115503
1,5,3,1,0,0,7,0,0.199000
1,5,3,1,0,1,7,0,0.099500
1,5,3,1,0,2,7,0,0.033167
1,5,3,2,0,0,7,0,0.199000
1,5,3,2,0,1,7,0,0.099500
1,5,3,3,0,0,7,0,0.199000
1,5,4,0,0,0,7,0,0.284286
1,5,4,0,0,1,7,0,0.170571
1,5,4,0,0,2,7,0,0.085286
1,5,4,0,0,3,7,0,0.028429
1,5,4,0,1,0,6,1,-0.188183
1,5,4,0,2,0,6,1,0.056075
1,5,4,1,0,0,7,0,0.284286
1,5,4,1,0,1,7,0,0.170571
1,5,4,1,0,2,7,0,0.085286
1,5,4,2,0,0,7,0,0.284286
1,5,4,2,0,1,7,0,0.170571
1,5,4,3,0,0,7,0,0.284286
2,1,0,0,0,0,6,1,-0.994931
2,1,0,0,0,0,7,0,0.939211
2,1,0,0,0,1,7,0,0.979514
2,1,0,0,0,2,7,0,0.199000
2,1,0,0,0,3,7,0,0.066333
2,1,0,0,0,4,7,0,0.000000
2,1,0,0,1,0,6,1,-0.939483
2,1,0,0,2,0,6,1,0.846934
2,1,0,1,0,0,7,0,0.986396
2,1,0,1,0,1,7,0,0.398000
2,1,0,1,0,2,7,0,0.199000
2,1,0,1,0,3,7,0,0.066333
2,1,0,1,1,0,6,1,-0.994933
2,1,0,1,2,0,6,1,-0.880639
2,1,0,2,0,0,7,0,0.663333
2,1,0,2,0,1,7,0,0.398000
2,1,0,2,0,2,7,0,0.199000
2,1,0,3,0,0,7,0,0.663333
2,1,0,3,0,1,7,0,0.398000
2,1,0,4,0,0,7,0,0.663333
2,1,1,0,0,0,6,1,-0.950082
2,1,1,0,0,1,7,0,0.994745
2,1,1,0,0,2,7,0,0.298500
2,1,1,0,0,3,7,0,0.149250
2,1,1,0,0,4,7,0,0.049750
2,1,1,0,1,0,6,1,0.310013
2,1,1,1,0,0,6,1,-0.994950
2,1,1,1,0,0,7,0,0.994873
2,1,1,1,0,1,7,0,0.497500
2,1,1,1,0,2,7,0,0.298500
2,1,1,1,0,3,7,0,0.149250
2,1,1,1,1,0,6,1,-0.921886
2,1,1,2,0,0,7,0,0.746250
2,1,1,2,0,1,7,0,0.497500
2,1,1,2,0,2,7,0,0.298500
2,1,1,3,0,0,7,0,0.746250
2,1,1,3,0,1,7,0,0.497500
2,1,1,4,0,0,7,0,0.746250
2,1,2,0,0,0,6,1,0.039797
2,1,2,0,0,2,7,0,0.398000
2,1,2,0,0,3,7,0,0.238800
2,1,2,0,0,4,7,0,0.119400
2,1,2,1,0,0,6,1,-0.939005
2,1,2,1,0,1,7,0,0.597000
2,1,2,1,0,2,7,0,0.398000
2,1,2,1,0,3,7,0,0.238800
2,1,2,2,0,0,7,0,0.796000
2,1,2,2,0,1,7,0,0.597000
2,1,2,2,0,2,7,0,0.398000
2,1,2,3,0,0,7,0,0.796000
2,1,2,3,0,1,7,0,0.597000
2,1,2,4,0,0,7,0,0.796000
2,2,0,0,0,0,7,0,0.398000
2,2,0,0,0,1,5,0,0.811482
2,2,0,0,0,1,7,0,0.199000
2,2,0,0,0,2,7,0,0.066333
2,2,0,0,0,3,7,0,0.000000
2,2,0,0,0,4,7,0,0.000000
2,2,0,0,1,0,6,1,-0.849519
2,2,0,0,2,0,6,1,0.109011
2,2,0,0,3,0,6,1,0.201492
2,2,0,1,0,0,5,0,0.737151
2,2,0,1,0,0,7,0,0.398000
2,2,0,1,0,1,7,0,0.199000
2,2,0,1,0,2,7,0,0.066333
2,2,0,1,0,3,7,0,0.000000
2,2,0,1,2,0,6,1,-0.627658
2,2,0,1,3,0,6,1,0.198005
2,2,0,2,0,0,7,0,0.398000
2,2,0,2,0,1,7,0,0.199000
2,2,0,2,0,2,7,0,0.066333
2,2,0,3,0,0,7,0,0.398000
2,2,0,3,0,1,7,0,0.199000
2,2,0,4,0,0,7,0,0.398000
2,2,1,0,0,0,6,1,-0.842744
2,2,1,0,0,0,7,0,0.497500
2,2,1,0,0,1,7,0,0.298500
2,2,1,0,0,2,7,0,0.149250
2,2,1,0,0,3,7,0,0.049750
2,2,1,0,0,4,7,0,0.000000
2,2,1,0,1,0,6,1,-0.366900
2,2,1,0,2,0,6,1,0.321758
2,2,1,1,0,0,7,0,0.497500
2,2,1,1,0,1,7,0,0.298500
2,2,1,1,0,2,7,0,0.149250
2,2,1,1,0,3,7,0,0.049750
2,2,1,1,1,0,6,1,-0.696027
2,2,1,1,2,0,6,1,-0.548353
2,2,1,2,0,0,7,0,0.497500
2,2,1,2,0,1,7,0,0.298500
2,2,1,2,0,2,7,0,0.149250
2,2,1,3,0,0,7,0,0.497500
2,2,1,3,0,1,7,0,0.298500
2,2,1,4,0,0,7,0,0.497500
2,2,2,0,0,0,6,1,-0.472477
2,2,2,0,0,0,7,0,0.993958
2,2,2,0,0,1,7,0,0.936830
2,2,2,0,0,2,7,0,0.238800
2,2,2,0,0,3,7,0,0.119400
2,2,2,0,0,4,7,0,0.039800
2,2,2,0,1,0,6,1,0.243733
2,2,2,1,0,0,6,1,-0.760153
2,2,2,1,0,0,7,0,0.956220
2,2,2,1,0,1,7,0,0.398000
2,2,2,1,0,2,7,0,0.238800
2,2,2,1,0,3,7,0,0.119400
2,2,2,1,1,0,6,1,-0.488548
2,2,2,2,0,0,7,0,0.597000
2,2,2,2,0,1,7,0,0.398000
2,2,2,2,0,2,7,0,0.238800
2,2,2,3,0,0,7,0,0.597000
2,2,2,3,0,1,7,0,0.398000
2,2,2,4,0,0,7,0,0.597000
2,2,3,0,0,0,6,1,-0.134886
2,2,3,0,0,0,7,0,0.994880
2,2,3,0,0,1,7,0,0.994751
2,2,3,0,0,2,7,0,0.331667
2,2,3,0,0,3,7,0,0.199000
2,2,3,0,0,4,7,0,0.099500
2,2,3,1,0,0,6,1,-0.804313
2,2,3,1,0,0,7,0,0.994834
2,2,3,1,0,1,7,0,0.497500
2,2,3,1,0,2,7,0,0.331667
2,2,3,1,0,3,7,0,0.199000
2,2,3,2,0,0,7,0,0.663333
2,2,3,2,0,1,7,0,0.497500
2,2,3,2,0,2,7,0,0.331667
2,2,3,3,0,0,7,0,0.663333
2,2,3,3,0,1,7,0,0.497500
2,2,3,4,0,0,7,0,0.663333
2,3,0,0,0,0,5,0,0.859174
2,3,0,0,0,0,7,0,0.199000
2,3,0,0,0,1,5,0,0.257773
2,3,0,0,0,1,7,0,0.066333
2,3,0,0,0,2,7,0,0.000000
2,3,0,0,0,3,7,0,0.000000
2,3,0,0,0,4,7,0,0.000000
2,3,0,0,2,0,6,1,0.000858
2,3,0,0,3,0,6,1,0.003006
2,3,0,0,4,0,6,1,0.060935
2,3,0,1,0,0,5,0,0.336798
2,3,0,1,0,0,7,0,0.199000
2,3,0,1,0,1,7,0,0.066333
2,3,0,1,0,2,7,0,0.000000
2,3,0,1,0,3,7,0,0.000000
2,3,0,1,3,0,6,1,0.620420
2,3,0,1,4,0,6,1,0.083602
2,3,0,2,0,0,7,0,0.199000
2,3,0,2,0,1,7,0,0.066333
2,3,0,2,0,2,7,0,0.000000
2,3,0,3,0,0,7,0,0.199000
2,3,0,3,0,1,7,0,0.066333
2,3,0,4,0,0,7,0,0.199000
2,3,1,0,0,0,7,0,0.298500
2,3,1,0,0,1,5,0,0.550449
2,3,1,0,0,1,7,0,0.149250
2,3,1,0,0,2,7,0,0.049750
2,3,1,0,0,3,7,0,0.000000
2,3,1,0,0,4,7,0,0.000000
2,3,1,0,1,0,6,1,0.044977
2,3,1,0,2,0,6,1,0.081297
2,3,1,0,3,0,6,1,0.110757
2,3,1,1,0,0,5,0,0.770210
2,3,1,1,0,0,7,0,0.298500
2,3,1,1,0,1,7,0,0.149250
2,3,1,1,0,2,7,0,0.049750
2,3,1,1,0,3,7,0,0.000000
2,3,1,1,2,0,6,1,-0.950910
2,3,1,1,3,0,6,1,0.148504
2,3,1,2,0,0,7,0,0.298500
2,3,1,2,0,1,7,0,0.149250
2,3,1,2,0,2,7,0,0.049750
2,3,1,3,0,0,7,0,0.298500
2,3,1,3,0,1,7,0,0.149250
2,3,1,4,0,0,7,0,0.298500
2,3,2,0,0,0,6,1,0.026013
2,3,2,0,0,0,7,0,0.398000
2,3,2,0,0,1,7,0,0.238800
2,3,2,0,0,2,7,0,0.119400
2,3,2,0,0,3,7,0,0.039800
2,3,2,0,0,4,7,0,0.000000
2,3,2,0,1,0,6,1,-0.146897
2,3,2,0,2,0,6,1,0.257406
2,3,2,1,0,0,7,0,0.398000
2,3,2,1,0,1,7,0,0.238800
2,3,2,1,0,2,7,0,0.119400
2,3,2,1,0,3,7,0,0.039800
2,3,2,1,1,0,6,1,-0.929717
2,3,2,1,2,0,6,1,-0.629767
2,3,2,2,0,0,7,0,0.398000
2,3,2,2,0,1,7,0,0.238800
2,3,2,2,0,2,7,0,0.119400
2,3,2,3,0,0,7,0,0.398000
2,3,2,3,0,1,7,0,0.238800
2,3,2,4,0,0,7,0,0.398000
2,3,3,0,0,0,6,1,-0.179411
2,3,3,0,0,0,7,0,0.986728
2,3,3,0,0,1,7,0,0.331667
2,3,3,0,0,2,7,0,0.199000
2,3,3,0,0,3,7,0,0.099500
2,3,3,0,0,4,7,0,0.033167
2,3,3,0,1,0,6,1,-0.109618
2,3,3,1,0,0,6,1,-0.920454
2,3,3,1,0,0,7,0,0.497500
2,3,3,1,0,1,7,0,0.331667
2,3,3,1,0,2,7,0,0.199000
2,3,3,1,0,3,7,0,0.099500
2,3,3,1,1,0,6,1,-0.581429
2,3,3,2,0,0,7,0,0.497500
2,3,3,2,0,1,7,0,0.331667
2,3,3,2,0,2,7,0,0.199000
2,3,3,3,0,0,7,0,0.497500
2,3,3,3,0,1,7,0,0.331667
2,3,3,4,0,0,7,0,0.497500
2,3,4,0,0,0,6,1,-0.091588
2,3,4,0,0,0,7,0,0.994964
2,3,4,0,0,1,7,0,0.994915
2,3,4,0,0,2,7,0,0.284286
2,3,4,0,0,3,7,0,0.170571
2,3,4,0,0,4,7,0,0.085286
2,3,4,1,0,0,6,1,-0.607439
2,3,4,1,0,0,7,0,0.994936
2,3,4,1,0,1,7,0,0.426429
2,3,4,1,0,2,7,0,0.284286
2,3,4,1,0,3,7,0,0.170571
2,3,4,2,0,0,7,0,0.568571
2,3,4,2,0,1,7,0,0.426429
2,3,4,2,0,2,7,0,0.284286
2,3,4,3,0,0,7,0,0.568571
2,3,4,3,0,1,7,0,0.426429
2,3,4,4,0,0,7,0,0.568571
2,4,0,0,0,0,5,0,0.395247
2,4,0,0,0,0,7,0,0.066333
2,4,0,0,0,1,7,0,0.000000
2,4,0,0,0,2,7,0,0.000000
2,4,0,0,0,3,7,0,0.000000
2,4,0,0,0,4,7,0,0.000000
2,4,0,0,3,0,6,1,0.239725
2,4,0,0,4,0,6,1,0.011198
2,4,0,0,5,0,6,1,0.017664
2,4,0,1,0,0,7,0,0.066333
2,4,0,1,0,1,7,0,0.000000
2,4,0,1,0,2,7,0,0.000000
2,4,0,1,0,3,7,0,0.000000
2,4,0,1,4,0,6,1,0.484078
2,4,0,1,5,0,6,1,0.026051
2,4,0,2,0,0,7,0,0.066333
2,4,0,2,0,1,7,0,0.000000
2,4,0,2,0,2,7,0,0.000000
2,4,0,3,0,0,7,0,0.066333
2,4,0,3,0,1,7,0,0.000000
2,4,0,4,0,0,7,0,0.066333
2,4,1,0,0,0,5,0,0.976904
2,4,1,0,0,0,7,0,0.149250
2,4,1,0,0,1,5,0,0.430532
2,4,1,0,0,1,7,0,0.049750
2,4,1,0,0,2,7,0,0.000000
2,4,1,0,0,3,7,0,0.000000
2,4,1,0,0,4,7,0,0.000000
2,4,1,0,2,0,6,1,0.364968
2,4,1,0,3,0,6,1,0.029845
2,4,1,0,4,0,6,1,0.074252
2,4,1,1,0,0,5,0,0.583497
2,4,1,1,0,0,7,0,0.149250
2,4,1,1,0,1,7,0,0.049750
2,4,1,1,0,2,7,0,0.000000
2,4,1,1,0,3,7,0,0.000000
2,4,1,1,3,0,6,1,0.672742
2,4,1,1,4,0,6,1,0.080276
2,4,1,2,0,0,7,0,0.149250
2,4,1,2,0,1,7,0,0.049750
2,4,1,2,0,2,7,0,0.000000
2,4,1,3,0,0,7,0,0.149250
2,4,1,3,0,1,7,0,0.049750
2,4,1,4,0,0,7,0,0.149250
2,4,2,0,0,0,5,0,0.980661
2,4,2,0,0,0,7,0,0.238800
2,4,2,0,0,1,5,0,0.597391
2,4,2,0,0,1,7,0,0.119400
2,4,2,0,0,2,7,0,0.039800
2,4,2,0,0,3,7,0,0.000000
2,4,2,0,0,4,7,0,0.000000
2,4,2,0,1,0,6,1,-0.992428
2,4,2,0,2,0,6,1,0.062738
2,4,2,0,3,0,6,1,0.138604
2,4,2,1,0,0,5,0,0.643063
2,4,2,1,0,0,7,0,0.238800
2,4,2,1,0,1,7,0,0.119400
2,4,2,1,0,2,7,0,0.039800
2,4,2,1,0,3,7,0,0.000000
2,4,2,1,2,0,6,1,-0.994904
2,4,2,1,3,0,6,1,0.325869
2,4,2,2,0,0,7,0,0.238800
2,4,2,2,0,1,7,0,0.119400
2,4,2,2,0,2,7,0,0.039800
2,4,2,3,0,0,7,0,0.238800
2,4,2,3,0,1,7,0,0.119400
2,4,2,4,0,0,7,0,0.238800
2,4,3,0,0,0,6,1,-0.992852
2,4,3,0,0,0,7,0,0.331667
2,4,3,0,0,1,7,0,0.199000
2,4,3,0,0,2,7,0,0.099500
2,4,3,0,0,3,7,0,0.033167
2,4,3,0,0,4,7,0,0.000000
2,4,3,0,1,0,6,1,-0.067172
2,4,3,0,2,0,6,1,0.214505
2,4,3,1,0,0,7,0,0.331667
2,4,3,1,0,1,7,0,0.199000
2,4,3,1,0,2,7,0,0.099500
2,4,3,1,0,3,7,0,0.033167
2,4,3,1,1,0,6,1,-0.994928
2,4,3,1,2,0,6,1,-0.538742
2,4,3,2,0,0,7,0,0.331667
2,4,3,2,0,1,7,0,0.199000
2,4,3,2,0,2,7,0,0.099500
2,4,3,3,0,0,7,0,0.331667
2,4,3,3,0,1,7,0,0.199000
2,4,3,4,0,0,7,0,0.331667
2,4,4,0,0,0,6,1,-0.211451
2,4,4,0,0,0,7,0,0.564316
2,4,4,0,0,1,7,0,0.284286
2,4,4,0,0,2,7,0,0.170571
2,4,4,0,0,3,7,0,0.085286
2,4,4,0,0,4,7,0,0.028429
2,4,4,0,1,0,6,1,0.105331
2,4,4,1,0,0,6,1,-0.994942
2,4,4,1,0,0,7,0,0.426429
2,4,4,1,0,1,7,0,0.284286
2,4,4,1,0,2,7,0,0.170571
2,4,4,1,0,3,7,0,0.085286
2,4,4,1,1,0,6,1,-0.517586
2,4,4,2,0,0,7,0,0.426429
2,4,4,2,0,1,7,0,0.284286
2,4,4,2,0,2,7,0,0.170571
2,4,4,3,0,0,7,0,0.426429
2,4,4,3,0,1,7,0,0.284286
2,4,4,4,0,0,7,0,0.426429
2,5,0,0,0,0,7,0,0.000000
2,5,0,0,0,1,7,0,0.000000
2,5,0,0,0,2,7,0,0.000000
2,5,0,0,0,3,7,0,0.000000
2,5,0,0,0,4,7,0,0.000000
2,5,0,0,4,0,6,1,0.000000
2,5,0,0,5,0,6,1,0.000000
2,5,0,0,6,0,6,1,0.000000
2,5,0,1,0,0,7,0,0.000000
2,5,0,1,0,1,7,0,0.000000
2,5,0,1,0,2,7,0,0.000000
2,5,0,1,0,3,7,0,0.000000
2,5,0,1,5,0,6,1,0.000000
2,5,0,1,6,0,6,1,0.000000
2,5,0,2,0,0,7,0,0.000000
2,5,0,2,0,1,7,0,0.000000
2,5,0,2,0,2,7,0,0.000000
2,5,0,3,0,0,7,0,0.000000
2,5,0,3,0,1,7,0,0.000000
2,5,0,4,0,0,7,0,0.000000
2,5,1,0,0,0,5,0,0.058627
2,5,1,0,0,0,7,0,0.049750
2,5,1,0,0,1,7,0,0.000000
2,5,1,0,0,2,7,0,0.000000
2,5,1,0,0,3,7,0,0.000000
2,5,1,0,0,4,7,0,0.000000
2,5,1,0,3,0,6,1,0.000588
2,5,1,0,4,0,6,1,0.008399
2,5,1,0,5,0,6,1,0.005640
2,5,1,1,0,0,7,0,0.049750
2,5,1,1,0,1,7,0,0.000000
2,5,1,1,0,2,7,0,0.000000
2,5,1,1,0,3,7,0,0.000000
2,5,1,1,4,0,6,1,0.520171
2,5,1,1,5,0,6,1,0.017345
2,5,1,2,0,0,7,0,0.049750
2,5,1,2,0,1,7,0,0.000000
2,5,1,2,0,2,7,0,0.000000
2,5,1,3,0,0,7,0,0.049750
2,5,1,3,0,1,7,0,0.000000
2,5,1,4,0,0,7,0,0.049750
2,5,2,0,0,0,5,0,0.981868
2,5,2,0,0,0,7,0,0.119400
2,5,2,0,0,1,5,0,-0.355430
2,5,2,0,0,1,7,0,0.039800
2,5,2,0,0,2,7,0,0.000000
2,5,2,0,0,3,7,0,0.000000
2,5,2,0,0,4,7,0,0.000000
2,5,2,0,2,0,6,1,0.000845
2,5,2,0,3,0,6,1,0.025196
2,5,2,0,4,0,6,1,0.016920
2,5,2,1,0,0,5,0,0.337538
2,5,2,1,0,0,7,0,0.119400
2,5,2,1,0,1,7,0,0.039800
2,5,2,1,0,2,7,0,0.000000
2,5,2,1,0,3,7,0,0.000000
2,5,2,1,3,0,6,1,0.525306
